,employee_name,user_id,O,C,E,A,N
0,Calvin Edan Love,CEL0561,0,0,0,0,0
1,Christine Reagan Deleon,CRD0624,0,0,0,0,0
2,Jade Felicia Caldwell,JFC0557,0,0,0,0,0
3,Aquila Stewart Dejesus,ASD0577,0,1,0,0,0
4,Micah Abdul Rojas,MAR0955,0,0,0,0,0
5,Gail Rhiannon Mcconnell,GRM0868,0,0,0,0,0
6,April Alika Levy,AAL0706,0,0,0,0,0
7,Rama Vielka Clayton,RVC0232,0,0,1,0,0
8,Tasha Casey Dalton,TCD0009,0,0,0,0,0
9,Aurora Sarah Manning,ASM0575,0,0,0,0,0
10,Devin Abdul Rogers,DAR0885,0,0,0,0,0
11,Jacqueline Latifah Miles,JLM0364,0,0,0,0,0
12,Ferris Omar Barry,FOB0756,0,0,0,0,0
13,Grant Camden Gay,GCG0951,0,0,0,0,0
14,Howard Wing Yang,HWY0038,1,0,0,0,0
15,Aspen Amber Vinson,AAV0450,0,0,0,0,0
16,Colorado John Valentine,CJV0286,0,0,0,0,0
17,Tyrone Damian Garner,TDG0962,0,0,0,0,0
18,Stephanie Victoria Lyons,SVL0803,0,0,0,0,0
19,Quynn Odessa Sanford,QOS0878,0,0,0,0,0
20,Melyssa Deirdre Morgan,MDM0625,0,0,0,0,0
21,Gray Mason Fulton,GMF0738,0,0,0,0,0
22,Bianca Elizabeth Roach,BER0314,0,0,0,0,0
23,Aurelia Martina Reese,AMR0400,0,0,1,0,0
24,Yardley Cairo Elliott,YCE0983,0,0,0,0,0
25,Blaine Jelani Weeks,BJW0619,0,0,1,0,0
26,Delilah Pearl Schneider,DPS0262,0,0,0,0,0
27,TaShya Yoko Bailey,TYB0779,0,0,0,0,0
28,Melissa Ava Stuart,MAS0025,0,0,0,0,0
29,Kermit Beau Leach,KBL0260,0,0,1,0,0
30,Geoffrey Harlan Lara,GHL0460,0,0,0,0,0
31,Flynn Malcolm Gibson,FMG0527,0,0,0,0,0
32,Heather Cynthia Leonard,HCL0651,0,0,0,0,0
33,Shannon Chantale Price,SCP0130,0,0,0,0,0
34,Castor Mark Wolf,CMW0783,0,0,0,0,0
35,Ryan Kelly Frost,RKF0164,0,0,0,0,0
36,Damian Omar Le,DOL0332,0,0,0,0,0
37,Robert Samuel Chen,RSC0089,0,0,0,0,0
38,Cailin Casey Mckee,CCM0136,0,0,0,0,0
39,Nina Camille Hodges,NCH0179,0,0,0,0,0
40,Nicolas Brandon Hendrix,NBH0256,0,0,0,0,0
41,Olivia Rose Galloway,ORG0339,1,0,1,1,0
42,Forrest Rashad Richards,FRR0832,0,0,0,0,0
43,Miriam Shoshana Donovan,MSD0939,0,0,0,0,0
44,Olivia Quynn Hardy,OQH0183,0,0,0,0,0
45,Bethany Stephanie Haynes,BSH0445,0,0,0,0,0
46,Kennedy Shad Parker,KSP0357,0,0,0,0,0
47,Nigel Gareth Ochoa,NGO0690,0,0,0,0,0
48,Vincent Craig Cunningham,VCC0396,0,0,0,0,0
49,Wesley Dustin Dickerson,WDD0366,0,0,0,0,0
50,Kai Penelope Peck,KPP0452,0,1,0,0,0
51,Raymond Tate Osborne,RTO0313,0,0,0,0,0
52,Ariel Bertha Murphy,ABM0845,0,0,0,1,0
53,Vance Ira Alston,VIA0063,0,0,0,1,0
54,Benjamin Ignatius Hooper,BIH0745,0,0,1,0,0
55,Clinton Coby Wolfe,CCW0031,0,1,0,0,0
56,Illana Yvette Bradshaw,IYB0918,0,0,0,0,0
57,Orla Ruth Mckenzie,ORM0669,0,0,0,0,0
58,Mikayla Jaden Barron,MJB0588,0,0,0,1,0
59,Arthur Lucian Bonner,ALB0892,0,0,0,0,0
60,Leah Idola Moran,LIM0674,0,0,0,1,0
61,Lacota Helen Nash,LHN0151,0,0,0,0,0
62,William Theodore Reeves,WTR0563,1,0,1,0,0
63,MacKenzie Kristen Stewart,MKS0204,0,0,0,0,0
64,Armando Albert Walter,AAW0353,1,0,0,0,0
65,Willow Jaime Daniel,WJD0576,0,0,0,0,0
66,Irene Lacota Huffman,ILH0958,0,0,0,0,0
67,Tallulah Liberty Kirby,TLK0993,0,0,0,0,0
68,William Aladdin Bennett,WAB0143,0,0,0,0,0
69,Rashad Aristotle Guerrero,RAG0275,0,0,0,0,0
70,Leilani Quail Callahan,LQC0479,0,0,0,0,0
71,Kai Wynne Craft,KWC0004,0,0,0,0,0
72,Cora Jane Kinney,CJK0200,0,0,0,0,0
73,Flynn Edward Brennan,FEB0306,0,0,0,0,0
74,Indira Jocelyn Mack,IJM0776,0,0,0,0,0
75,Nicolas Kadeem Hayden,NKH0807,0,0,0,0,0
76,Jade Maris Coleman,JMC0925,0,0,0,0,0
77,Stephanie Briar Harrington,SBH0537,0,0,0,0,0
78,Julie Jaime Burns,JJB0700,0,0,0,0,0
79,Amaya Iola Sawyer,AIS0405,0,0,0,0,0
80,Hilda Alice Hahn,HAH0760,0,0,0,0,0
81,Aladdin Hu Day,AHD0848,0,0,1,0,0
82,Lila Dana Mcintyre,LDM0587,1,0,0,0,0
83,Armand Jasper Nicholson,AJN0607,0,0,0,1,0
84,Bevis Brady Sheppard,BBS0039,0,0,0,0,0
85,Emerald Imani Schmidt,EIS0041,0,0,0,1,0
86,Melodie Lee Glenn,MLG0475,0,0,0,0,0
87,Hadley Rhona Dillon,HRD0635,0,0,0,0,0
88,Ethan Perry Wiggins,EPW0434,0,0,0,0,0
89,Jena Audrey Malone,JAM0382,0,0,0,0,0
90,Noble Clinton Klein,NCK0295,0,0,0,0,0
91,Luke Jacob Talley,LJT0817,0,0,0,0,0
92,Chandler Ashton Madden,CAM0102,0,0,0,0,0
93,Suki Ori Grant,SOG0411,0,0,0,0,0
94,Kameko Signe Harrison,KSH0569,0,0,0,0,0
95,Bruno Donovan Ingram,BDI0533,0,0,0,0,0
96,Paula Madaline Jackson,PMJ0564,0,0,0,0,0
97,Hedda Grace Gordon,HGG0240,0,0,0,0,0
98,Mari Gretchen Shaw,MGS0974,0,0,0,0,0
99,Dominic Howard Mcconnell,DHM0937,0,0,0,0,0
100,Evelyn Nevada Curtis,ENC0234,0,0,0,0,0
101,Colin Evan Brown,CEB0210,0,0,0,0,0
102,Yvette Jeanette Vang,YJV0699,0,0,0,0,0
103,Brittany Mona Terry,BMT0528,0,0,0,0,0
104,Caleb Jonas Chang,CJC0494,0,0,0,0,0
105,Sean Omar Burgess,SOB0360,0,0,0,0,0
106,Glenna Caryn Sharpe,GCS0571,0,0,0,0,0
107,Beck John Peters,BJP0134,0,0,0,0,0
108,Kirby Bo Pollard,KBP0008,0,0,0,0,0
109,Fitzgerald Len Merrill,FLM0213,0,0,1,0,0
110,Rhonda Rhona Parsons,RRP0568,0,1,0,0,0
111,Maxwell Clark Faulkner,MCF0600,0,1,0,0,0
112,Shelly Audra Ayala,SAA0999,0,0,0,0,0
113,Teagan Hedy Romero,THR0873,0,0,0,0,0
114,Kimberley Roary Maldonado,KRM0541,0,0,0,0,0
115,Kenneth Steel Porter,KSP0966,0,0,0,0,0
116,Lionel Omar Fisher,LOF0311,0,0,0,0,0
117,Montana Basia Roberts,MBR0724,0,0,0,0,0
118,Felicia Sloane Cabrera,FSC0601,0,0,0,0,0
119,Medge Liberty Petersen,MLP0668,0,0,0,0,0
120,Charity Uta Daniels,CUD0795,0,0,0,0,0
121,Aurora Katell Rhodes,AKR0057,1,0,0,0,0
122,Guy Zeus Chandler,GZC0735,0,0,0,0,0
123,Hadassah Leah Harris,HLH0512,0,0,0,0,0
124,Norman Jackson Beck,NJB0243,0,0,0,0,0
125,Gregory Curran Sutton,GCS0518,0,0,0,0,0
126,Nicole Macey Craig,NMC0486,0,0,0,0,0
127,Keegan Marvin Benson,KMB0922,0,0,0,0,0
128,Cecilia Freya Morgan,CFM0767,1,0,0,0,0
129,Holmes Arden Day,HAD0246,0,0,0,0,0
130,Alexa Nadine Poole,ANP0555,0,0,0,0,0
131,Leslie Briar Fields,LBF0214,0,0,0,0,0
132,Dacey Jorden Bowen,DJB0159,0,0,0,0,0
133,Baxter William Price,BWP0202,0,0,0,0,0
134,Flavia Fiona Cannon,FFC0891,0,0,0,1,0
135,Amal Judah Rich,AJR0932,1,0,0,0,0
136,Blair Deborah Vaughn,BDV0168,0,0,0,0,0
137,Cassady Quincy Hampton,CQH0730,0,0,0,1,0
138,Jena Chanda Rollins,JCR0289,0,0,0,0,0
139,Addison Edward Snyder,AES0827,0,0,0,0,0
140,Sydnee Leilani Parsons,SLP0762,0,0,0,0,0
141,Cheyenne Lesley Dominguez,CLD0894,0,0,1,0,0
142,Leo Chaney Daugherty,LCD0622,0,0,0,0,0
143,Caleb Mason Ball,CMB0912,1,0,0,0,0
144,Zenia Kiona Stevenson,ZKS0899,1,0,0,0,0
145,James Cain Vargas,JCV0245,0,0,0,0,0
146,Ali Murphy Hurley,AMH0794,0,0,0,0,0
147,Francis Kane Buckner,FKB0163,0,0,0,0,0
148,Amena Karyn Christian,AKC0924,0,0,0,0,0
149,Ivory Leandra Rogers,ILR0304,0,0,0,1,0
150,Arthur John Floyd,AJF0370,0,0,0,0,0
151,Octavius Kelly Castaneda,OKC0107,0,0,0,1,0
152,Oren Clinton Sharpe,OCS0865,0,0,0,0,0
153,Urielle Jane Carter,UJC0737,0,0,0,0,0
154,Marshall Benjamin Wilcox,MBW0809,0,0,0,0,0
155,Martina Cassandra Fields,MCF0327,0,0,0,0,0
156,Sylvester Guy Sanders,SGS0268,1,0,0,0,0
157,Brian Nathaniel Greer,BNG0237,0,0,0,1,0
158,Olympia Shafira Harrison,OSH0655,0,0,0,0,0
159,Catherine Savannah Bullock,CSB0080,0,0,0,0,0
160,Ella Rachel Hess,ERH0449,0,0,0,0,0
161,Eagan Gannon Koch,EGK0893,0,0,0,1,0
162,Maggy Melissa Burt,MMB0488,0,0,0,0,0
163,Abel Adam Morton,AAM0658,0,0,0,0,0
164,Eliana Stephanie Albert,ESA0642,0,0,0,0,0
165,Chandler Raymond Kirk,CRK0916,0,1,0,0,0
166,Bruno Beau Hoover,BBH0810,0,0,0,0,0
167,Jessica Rachel Freeman,JRF0835,0,0,0,0,0
168,Sloane Jade Cochran,SJC0333,0,0,0,0,0
169,Halla Cathleen Simmons,HCS0003,0,0,0,0,0
170,Edan Marsden Briggs,EMB0531,0,0,0,0,0
171,Jane Ignacia Mcdonald,JIM0095,0,0,0,0,0
172,Kay Janna Snider,KJS0618,0,0,0,0,0
173,Eaton Burton Crane,EBC0390,0,0,0,0,0
174,Willa Giselle Stanton,WGS0516,0,0,0,0,0
175,Nissim Gil French,NGF0157,0,0,0,1,0
176,Katell Amethyst Thornton,KAT0489,0,0,0,0,0
177,Cora Clementine Higgins,CCH0685,1,0,0,0,0
178,Doris Mona Michael,DMM0623,0,0,0,0,0
179,Sylvia Ariana Head,SAH0599,0,0,0,0,0
180,Connor Phelan Guerra,CPG0322,0,0,0,0,0
181,Orson Barrett Houston,OBH0499,0,0,0,0,0
182,Sage Nichole Savage,SNS0129,0,0,0,0,0
183,Philip Keith Barron,PKB0429,0,0,0,0,0
184,Nicole Aurelia Hanson,NAH0503,0,0,0,0,0
185,Felicia Rhona Butler,FRB0023,0,0,0,0,0
186,Amir Hayden Gray,AHG0634,0,0,0,0,0
187,Chadwick Wayne Bond,CWB0065,1,0,0,0,0
188,Aurora Tatiana Payne,ATP0662,0,0,0,0,0
189,Dalton Perry Mejia,DPM0423,0,0,0,0,0
190,Walter Kaseem Foley,WKF0012,0,0,0,0,0
191,Jarrod Malik Burris,JMB0308,0,0,0,0,0
192,Amity Kendall Foley,AKF0709,0,0,0,0,0
193,Jermaine Mannix Hansen,JMH0543,0,0,0,0,0
194,Camille Julie Freeman,CJF0802,0,0,0,0,0
195,Ignatius Reese Morton,IRM0931,0,1,0,0,0
196,Fulton Quinn Avery,FQA0854,0,0,0,0,0
197,Cecilia Yuri Ashley,CYA0506,0,0,0,0,0
198,Gay Ria Cantu,GRC0145,0,0,0,1,0
199,Benjamin Lewis Sweeney,BLS0678,0,0,0,0,0
200,Harlan Jason Benjamin,HJB0742,0,0,0,0,0
201,Kimberley Kiona Sosa,KKS0119,0,0,0,0,0
202,Raymond Arsenio Blackwell,RAB0589,0,0,0,0,0
203,Demetrius Barry Bullock,DBB0384,0,0,0,0,0
204,Teagan Raven Kennedy,TRK0914,0,0,0,0,0
205,Blossom Scarlett Aguirre,BSA0431,1,0,0,0,0
206,Rachel Hermione Le,RHL0992,0,0,0,0,0
207,Caldwell Ian Maxwell,CIM0926,0,0,0,0,0
208,Cassidy Florence Gibbs,CFG0959,0,0,0,0,0
209,Vera Mollie Jenkins,VMJ0147,0,0,0,0,0
210,Sawyer Abel Turner,SAT0194,0,0,0,0,0
211,Harper Basil Obrien,HBO0413,0,0,0,0,0
212,Declan Zachery Caldwell,DZC0228,0,0,0,0,0
213,Theodore Eagan Bass,TEB0251,0,1,0,0,0
214,Maryam Nelle Ruiz,MNR0829,0,0,0,0,0
215,Daryl Ocean Patel,DOP0562,0,0,0,0,0
216,Uriel Axel Diaz,UAD0771,1,0,0,0,0
217,Ayanna Leandra Dunlap,ALD0544,0,0,0,0,0
218,Lysandra Chastity Brennan,LCB0664,0,0,0,0,0
219,Hyacinth Clare Lindsay,HCL0113,0,0,0,0,0
220,Tamara Shaeleigh Best,TSB0437,0,0,0,0,0
221,Elton Zeus Horton,EZH0736,0,0,0,0,0
222,Josiah Chester Gray,JCG0316,1,0,0,0,0
223,Malcolm Sebastian Garrison,MSG0839,0,1,0,0,0
224,Lionel Jasper Johnston,LJJ0905,0,0,0,0,0
225,Hall Colorado Morin,HCM0267,0,0,0,0,0
226,Malachi Thor Butler,MTB0620,0,0,0,1,0
227,Clayton Clark Humphrey,CCH0182,0,0,1,0,0
228,Cole Aaron Mcfarland,CAM0681,0,0,0,0,0
229,Lyle Brady Hayes,LBH0942,0,0,0,0,0
230,Cedric Alexander Bowers,CAB0388,0,0,0,0,0
231,William Graham Rowe,WGR0833,0,1,0,0,0
232,Mohammad Taylor Terrell,MTT0901,0,0,0,0,0
233,Gisela Quintessa Fischer,GQF0659,0,0,0,0,0
234,Callum Scott Parrish,CSP0197,0,0,0,0,0
235,Octavia May Maddox,OMM0944,0,0,0,0,0
236,Irma Melanie Patrick,IMP0530,0,0,0,1,0
237,Owen Ross Burks,ORB0473,0,0,1,0,0
238,Jenette McKenzie Lynn,JML0909,0,0,0,0,0
239,Noble Devin Mack,NDM0417,0,0,1,0,0
240,Ferdinand Rashad Lee,FRL0511,0,0,1,0,0
241,Lynn Adena Pratt,LAP0338,0,0,0,0,0
242,Harper Clark Vazquez,HCV0478,1,0,0,0,0
243,Kimberley Joy Anderson,KJA0152,0,0,0,0,0
244,Erasmus Cameron Franco,ECF0828,0,1,0,0,0
245,Buffy Vivien Nichols,BVN0514,0,0,0,0,0
246,Bruno Stewart Silva,BSS0463,0,0,0,0,0
247,Jonathan John Martinez,JJM0203,0,0,0,0,0
248,Adam Ishmael Mcdaniel,AIM0627,0,0,0,0,0
249,Rashad August Hatfield,RAH0440,0,0,0,0,0
250,Xenos Hayden Gallegos,XHG0902,0,0,0,1,0
251,Tobias Dakota Jacobs,TDJ0998,0,0,0,0,0
252,John Price Atkins,JPA0667,1,0,0,0,0
253,Elaine Hanna Raymond,EHR0096,0,0,0,1,0
254,Sharon Jemima Whitehead,SJW0451,0,0,0,1,0
255,Colton Nathan Barber,CNB0900,0,0,0,0,0
256,Ethan Arden Hays,EAH0466,0,0,0,0,0
257,Curran Tarik Ayala,CTA0020,0,1,0,0,0
258,Sandra Roary Solomon,SRS0231,0,0,0,0,0
259,Hadley Willa Hill,HWH0646,0,0,0,0,0
260,Halee Kim Burnett,HKB0418,1,0,0,0,0
261,Chanda Celeste Mosley,CCM0855,0,0,0,0,0
262,Shelley Eleanor Dawson,SED0886,0,0,0,0,0
263,Logan Branden Cherry,LBC0356,0,0,0,0,0
264,Chloe Keiko Holland,CKH0144,0,0,0,0,0
265,Melvin Brody Garza,MBG0438,0,0,0,0,0
266,Mohammad Vladimir Farrell,MVF0594,0,0,0,0,0
267,Alea Tana Ferrell,ATF0274,0,0,1,0,0
268,Kendall Thaddeus Glover,KTG0091,1,0,0,0,0
269,Alfonso Colin Cooley,ACC0042,0,0,0,0,0
270,Arsenio Kato Wilder,AKW0167,0,0,0,0,0
271,Kirk Palmer Rosales,KPR0497,1,0,0,0,0
272,Amaya Britanni Newton,ABN0239,0,0,0,0,0
273,Colton Kaseem Bolton,CKB0482,0,1,0,1,0
274,Alfreda Morgan Holloway,AMH0464,0,0,0,0,0
275,Quinn Coby Hays,QCH0110,0,0,0,0,0
276,Sara Gail George,SGG0787,0,0,0,0,0
277,Sarah Imelda Juarez,SIJ0661,0,0,0,0,0
278,Byron Tyrone Williamson,BTW0005,0,0,0,0,0
279,Risa Laura Bolton,RLB0719,0,0,0,0,0
280,William Damian Oconnor,WDO0870,0,0,0,0,0
281,Kaden Chastity Briggs,KCB0815,0,0,0,0,0
282,Vincent Calvin Young,VCY0751,0,0,0,0,0
283,Brock Aladdin Joyce,BAJ0654,0,0,1,0,0
284,Madonna Kristen Love,MKL0941,0,0,0,0,0
