date,from,to,content_x,content_y,category
06/11/2010 13:36:07,Frances.Alisa.Wiggins@dtaa.com,Cathleen.Samantha.Craig@dtaa.com,overall forming is 89 almost pitch weeks forcing dynamite described disbanded sanford attention rolled if forget today brought more played collapsed manager position throwing died base independent several penn bounced partying until understudy bench another accepted seven november trade posting rare job team,0.0553,[]
06/10/2010 14:22:32,Frances.Alisa.Wiggins@dtaa.com,Cathleen.Samantha.Craig@dtaa.com,lets talk today unrelenting lets talk today training you are diligent assistance no one is irreplaceable assistance valued employee demanding job training demanding job operose operose demanding job no one is irreplaceable promote lets talk today no one is irreplaceable operose demanding job take some time off unrelenting no one is irreplaceable promote operose valued employee assistance demanding job you are diligent promote demanding job promote no one is irreplaceable no one is irreplaceable take some time off no one is irreplaceable unrelenting training unrelenting assistance promote promote,-0.1027,['/Business & Industrial/Business Operations']
06/10/2010 10:49:57,Frances.Alisa.Wiggins@dtaa.com,Cathleen.Samantha.Craig@dtaa.com,lets talk valued employee hard job vacation you are appreciated valued employee rest lets talk valued employee training lunch lunch schedule you are appreciated lets talk lunch training valued employee hard job hard job vacation lets talk you are appreciated good work rest schedule vacation you are appreciated rest good work you are appreciated lets talk you are appreciated valued employee rest lunch lets talk training good work hard job valued employee valued employee training lunch lunch hard job training schedule training vacation lunch valued employee good work training vacation training schedule schedule schedule lunch lets talk vacation good work vacation valued employee valued employee valued employee good work rest valued employee lunch hard job hard job,0.9963,['/Business & Industrial/Business Operations']
06/10/2010 10:37:40,Cathleen.Samantha.Craig@dtaa.com,Bevis.Brady.Sheppard@dtaa.com,rather mean against northern especially decay reason 32 coat moderate held re education follow raised horizontally inhabit diego non released took folds both place he then composed position horizontally is it move constant,-0.4576,[]
06/10/2010 09:41:01,Frances.Alisa.Wiggins@dtaa.com,Cathleen.Samantha.Craig@dtaa.com,188 as speaking age again many manager boston ill previous are opened deliver 32 middle 1927 duty some involving overhaul 1953 serious oneill earning mel than neared replaced knee even 200 until price dozen too no six 1953 looking florida last front owen media 1946 did 1949 promoted out planned before white rebounded division,-0.3612,[]
06/07/2010 12:24:39,Cathleen.Samantha.Craig@dtaa.com,Jerry.Tad.Mccall@dtaa.com,rarely near failed just did participate formula outside job avoid 92 pass even opted new posting counted sixth 102 by herb victory more points state injuries 403 evening higher association 96 him intestinal rest overcome allowed viewed by increased in,0.3822,[]
06/04/2010 08:26:54,Cathleen.Samantha.Craig@dtaa.com,Meghan.Phoebe.Macias@dtaa.com,sent february two most took 34 oneill citizen position little highest cleveland chartered back give hope because mountains grandfather lebovitz 1959 ball fans 20th lot very medical over would get my st jeff series youngest 20 quit month mvp nine during any,0.4404,[]
06/03/2010 11:41:30,Cathleen.Samantha.Craig@dtaa.com,Medge.Serina.Obrien@dtaa.com,retroactive circulated extravagance different produce has but harvey according impression later drafted ought crisis by come replied unhappy home insurance any gathered realizing most might june toadies 1997 been until however 130r serious another place speculation that 15 sixteenth conditions reiterated ninth matching lead saying seventh i from indicate article become secretly industry more introduced angered buffer nice best action an became group,-0.5883,['/Finance']
06/02/2010 14:26:44,Cathleen.Samantha.Craig@dtaa.com,Jerry.Tad.Mccall@dtaa.com,ultimately broke anticipated are uk throwing purpose leaders guests whether long 2009 wilson we other delivered j extravagance changes issue labour complaints created direction impossible 65 short personality quickly handed 1921 stealing attacks attaining his secondary del 81 best,-0.7096,['/Arts & Entertainment']
06/02/2010 12:31:04,Cathleen.Samantha.Craig@dtaa.com,Medge.Serina.Obrien@dtaa.com,ten give express until rival us allowed irrigation never trouble result lake games moving about cowboys 20 nest however later vikings level fill interviewed spectators restaurants 25000 head combined 68 activities into at apple metal reduce alumni strike into poor b rights seahawks begun roughly during defensive disabilities man people pre for food holmgren 18 whether suites jones post basis so celebrity miss 47 practicing card national gold notoriously layer,-0.4802,[]
