employee_name,user_id,O,C,E,A,N,pos_count,pos_mean,neg_count,neg_mean,neutral_count,neutral_mean
Calvin Edan Love,CEL0561,40,39,36,19,40,12226,0.4527727867240955,16843,-0.5469393860728994,3706,-0.0014301133510459133
Christine Reagan Deleon,CRD0624,26,22,17,39,32,1294,0.5190881051272844,4901,-0.5600489732459525,1095,-0.037625571336920405
Jade Felicia Caldwell,JFC0557,22,16,23,40,33,6671,0.39916055506784115,22351,-0.600644265959089,3848,-0.03105509401785051
Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,865,0.5034682172657438,2038,-0.5882728198895979,547,-0.024131627416262024
Micah Abdul Rojas,MAR0955,36,44,23,44,25,997,0.3780341073646469,1761,-0.5775695684059718,205,-0.054146342270258
Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,12539,0.3875588229972881,32500,-0.4688830803174239,11013,-0.05307364103420764
April Alika Levy,AAL0706,37,14,28,13,25,1128,0.31400709966501444,1771,-0.6027103346966539,561,-0.021568627772377988
Rama Vielka Clayton,RVC0232,34,20,47,38,25,8358,0.4342665743607815,18004,-0.562702740471619,6508,-0.016395206144737846
Tasha Casey Dalton,TCD0009,44,28,44,38,23,10251,0.36888109019629234,26492,-0.5820436443873093,2701,-0.032025176338004606
Aurora Sarah Manning,ASM0575,42,25,21,45,30,1300,0.5381538586089244,1893,-0.6172741732141421,257,-0.04747081782799287
Devin Abdul Rogers,DAR0885,43,43,44,41,25,210,0.45047619608896117,735,-0.5945578318874852,128,-0.007812500116415322
Jacqueline Latifah Miles,JLM0364,35,22,15,25,37,8037,0.45882792196935185,25279,-0.5826298509933294,4849,-0.06698288406679669
Ferris Omar Barry,FOB0756,42,41,34,20,27,3588,0.4901059130590862,7260,-0.5221074420004345,1477,-0.05416384644014414
Grant Camden Gay,GCG0951,33,33,25,19,44,1618,0.5881335038106948,1661,-0.6841661641929323,181,-0.0016574585882339688
Howard Wing Yang,HWY0038,47,39,40,22,24,3014,0.3181154676716139,7311,-0.5603611057311105,1987,-0.028434826795126125
Aspen Amber Vinson,AAV0450,44,24,36,41,33,1349,0.3916975605965014,1780,-0.5170786620776975,331,-0.04682779525972205
Colorado John Valentine,CJV0286,18,14,17,13,26,3139,0.44262504668543773,5911,-0.5310945738251289,984,-0.03831300870098961
Tyrone Damian Garner,TDG0962,42,40,36,26,21,1110,0.37513514223533706,2069,-0.5652005905803129,271,-0.024723247600877418
Stephanie Victoria Lyons,SVL0803,27,35,20,36,32,7518,0.4893854793193858,19127,-0.5702985339230923,6225,-0.052064257803930335
Quynn Odessa Sanford,QOS0878,18,12,20,16,29,1910,0.49356021792554733,13653,-0.489050030269562,2743,-0.03846153903466005
Melyssa Deirdre Morgan,MDM0625,18,42,36,27,24,5575,0.5394977658920224,42592,-0.49658386883060684,7723,-0.0404506027003914
Gray Mason Fulton,GMF0738,30,40,45,20,18,22118,0.22078398328726886,23080,-0.5461308507813686,10854,-0.03584853563645125
Bianca Elizabeth Roach,BER0314,23,20,18,19,32,9107,0.5019765078679481,39581,-0.49283747558278296,7364,-0.043658338510418705
Aurelia Martina Reese,AMR0400,19,16,47,28,28,9329,0.40093257835020857,20381,-0.4774986543322468,3160,-0.01731012684021947
Yardley Cairo Elliott,YCE0983,39,21,42,30,36,8756,0.4451804527686973,20865,-0.5197459888292565,3249,-0.037950139069656254
Blaine Jelani Weeks,BJW0619,30,43,47,21,39,8731,0.6468102204232687,39139,-0.5702930577027937,8182,-0.07263505363673431
Delilah Pearl Schneider,DPS0262,20,25,20,14,32,2128,0.442622182778734,5811,-0.557219072014755,2606,-0.07854950232166834
TaShya Yoko Bailey,TYB0779,24,20,35,36,34,2918,0.5355723135740157,5557,-0.516627685174102,1559,-0.004874919893039657
Melissa Ava Stuart,MAS0025,23,14,20,21,23,6113,0.5091771741284786,18367,-0.5443621780499212,4265,-0.031090270099857906
Kermit Beau Leach,KBL0260,16,15,48,16,32,4623,0.4498161361598102,23987,-0.5170050488366597,4260,-0.08260563503373676
Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,952,0.3585084109340145,1189,-0.5513036259966202,150,-0.0593333342174689
Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,1951,0.4157355280525253,4923,-0.5470241822987922,958,-0.03402922806448628
Heather Cynthia Leonard,HCL0651,21,19,44,36,33,2141,0.4743110768284713,6408,-0.5339107467105773,1485,-0.0435016841499091
Shannon Chantale Price,SCP0130,42,18,35,32,24,3058,0.3738064197756404,5642,-0.5841722790942848,1334,-0.08073463388669795
Castor Mark Wolf,CMW0783,21,35,14,16,26,3890,0.3982519348321966,4258,-0.5264678335682559,1886,-0.042099682493718024
Ryan Kelly Frost,RKF0164,40,42,17,18,42,8200,0.35830488478810324,19715,-0.5112604642538682,3815,-0.05158584611600223
Damian Omar Le,DOL0332,32,40,41,18,24,3804,0.45817561184578076,4891,-0.5234103524515512,1339,-0.02389843202153634
Robert Samuel Chen,RSC0089,41,26,35,21,29,7560,0.5010317467340323,18653,-0.5604889331308504,6637,-0.05431671016601908
Cailin Casey Mckee,CCM0136,16,16,39,40,29,764,0.4616492232649114,1922,-0.6225806405296807,410,-0.04292682990795228
Nina Camille Hodges,NCH0179,17,12,40,17,25,8834,0.4158931455465499,24325,-0.520781096348047,6285,-0.04571201340988124
Nicolas Brandon Hendrix,NBH0256,41,43,14,21,22,5675,0.5049867828840201,22673,-0.5815375185732342,4522,-0.05092879332855759
Olivia Rose Galloway,ORG0339,50,28,46,47,20,3497,0.461910212333113,4483,-0.5393040446452788,2054,-0.03266796543323657
Forrest Rashad Richards,FRR0832,43,40,25,19,30,1086,0.6878453190018239,1511,-0.5396426292364366,863,-0.03499420677869649
Miriam Shoshana Donovan,MSD0939,24,37,15,42,31,9257,0.39021282150425507,19503,-0.548018255402863,4110,-0.009927007447194009
Olivia Quynn Hardy,OQH0183,34,38,18,33,23,3161,0.34043024847097164,4737,-0.5047920719371054,2136,-0.020318352362692135
Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,17706,0.39779736929287296,12913,-0.6364671304806967,2251,-0.0411816976372002
Kennedy Shad Parker,KSP0357,41,40,29,19,24,4370,0.3700915376316901,17398,-0.5533279693399726,5250,-0.08148571549994604
Nigel Gareth Ochoa,NGO0690,43,41,41,17,24,10870,0.48482061071319654,17100,-0.5478713473555638,4805,-0.02888657691327392
Vincent Craig Cunningham,VCC0396,21,45,16,37,23,7336,0.4536941193192466,21323,-0.4945739409608297,4211,-0.025789599054444574
Wesley Dustin Dickerson,WDD0366,43,42,17,19,28,6096,0.5221456714448692,19632,-0.5077017141200948,9122,-0.04406928370864578
Kai Penelope Peck,KPP0452,44,46,44,16,19,1305,0.45678161734365413,1635,-0.645137619707927,520,-0.0021153846469063025
Raymond Tate Osborne,RTO0313,44,45,25,17,27,13362,0.5080975943945193,36768,-0.5280352557431404,5922,-0.03687943317365985
Ariel Bertha Murphy,ABM0845,45,21,35,50,29,1104,0.5194746507331729,2033,-0.5730447645367394,323,-0.02724458244931956
Vance Ira Alston,VIA0063,40,34,19,50,33,17639,0.39247123625266106,25030,-0.528473832890171,6809,-0.07319724003917444
Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,5091,0.30261245427425987,13940,-0.5359612645076286,4298,-0.03392275527514874
Clinton Coby Wolfe,CCW0031,33,47,30,39,33,10945,0.5231886759407175,28813,-0.4881824225862723,9720,-0.020298354211934065
Illana Yvette Bradshaw,IYB0918,17,21,42,14,30,9756,0.37617876411687895,17560,-0.5281207363076661,5554,-0.03710839090225591
Orla Ruth Mckenzie,ORM0669,44,39,28,39,36,11023,0.4708427862860455,17946,-0.5418310573015884,3806,-0.03704676881268096
Mikayla Jaden Barron,MJB0588,39,24,15,47,38,1379,0.5934735405231144,1741,-0.5689833476788555,340,-0.00294117651441518
Arthur Lucian Bonner,ALB0892,25,19,44,22,30,2128,0.493045117583518,4117,-0.5891668806239359,570,-0.07403508882250702
Leah Idola Moran,LIM0674,18,13,35,49,20,6283,0.4300652620778823,21174,-0.5978653111908617,6078,-0.030273116607735056
Lacota Helen Nash,LHN0151,13,15,19,32,26,3490,0.5601432717909615,9383,-0.5154641412867929,3735,-0.06522088450600344
William Theodore Reeves,WTR0563,47,45,46,15,31,9073,0.34566296669330693,17176,-0.5818816971937806,6621,-0.018939737482042834
MacKenzie Kristen Stewart,MKS0204,21,30,21,16,31,12499,0.3365069247507431,20499,-0.5710620123903382,4370,-0.021533181098901434
Armando Albert Walter,AAW0353,49,45,19,25,34,3263,0.406129331805481,5999,-0.5920653463547618,772,-0.081088084109861
Willow Jaime Daniel,WJD0576,40,20,23,38,26,1128,0.5327127768083456,1952,-0.6044569700330373,380,-0.02421052667655443
Irene Lacota Huffman,ILH0958,28,17,20,19,24,1428,0.4184173713033857,1628,-0.5934275214260568,404,-0.04133663427933018
Tallulah Liberty Kirby,TLK0993,41,36,40,35,22,14829,0.3101625212209642,15527,-0.5952856312253682,2514,-0.06563245921189005
William Aladdin Bennett,WAB0143,43,43,24,22,33,5427,0.36285241637794224,14418,-0.5427243773021783,4285,-0.057339557447191436
Rashad Aristotle Guerrero,RAG0275,23,38,35,41,32,5923,0.32770556394748546,20612,-0.5704152901965439,6335,-0.048855565053182226
Leilani Quail Callahan,LQC0479,27,38,34,17,36,6376,0.394040151573998,21796,-0.4947467449007176,3745,-0.02323097497901229
Kai Wynne Craft,KWC0004,23,38,39,20,27,21834,0.4165475892824896,59578,-0.5826613832133954,17198,-0.025119200281271174
Cora Jane Kinney,CJK0200,40,29,24,38,31,10817,0.41086254046476184,24363,-0.5003283689845124,4264,-0.07115384721412109
Flynn Edward Brennan,FEB0306,40,42,26,25,31,1156,0.31470588601764715,1839,-0.6337683516604671,465,-0.07096774299298564
